,Date,BTC,IBEX
275,2015-06-19,249.042999,10890.700195
276,2015-06-20,244.529999,10890.700195
277,2015-06-21,245.100006,10890.700195
278,2015-06-22,243.968994,11184.5
279,2015-06-23,246.927002,11461.5
280,2015-06-24,244.281998,11419.0
281,2015-06-25,240.365005,11245.0
282,2015-06-26,242.604004,11238.700195
283,2015-06-27,243.548996,11238.700195
284,2015-06-28,250.955002,11238.700195
285,2015-06-29,248.720993,11148.400391
286,2015-06-30,257.036011,10811.599609
287,2015-07-01,263.345001,10857.700195
288,2015-07-02,258.552002,10932.0
289,2015-07-03,255.459,10835.700195
290,2015-07-04,256.490997,10835.700195
291,2015-07-05,260.804993,10835.700195
292,2015-07-06,271.108002,10571.799805
293,2015-07-07,269.963013,10554.900391
294,2015-07-08,265.981995,10364.700195
295,2015-07-09,270.826996,10479.400391
296,2015-07-10,269.156006,10958.200195
297,2015-07-11,284.880005,10958.200195
298,2015-07-12,293.140015,10958.200195
299,2015-07-13,310.826996,11178.200195
300,2015-07-14,292.033997,11220.099609
301,2015-07-15,288.045013,11262.0
302,2015-07-16,286.041992,11405.200195
303,2015-07-17,278.091003,11551.0
304,2015-07-18,279.330994,11551.0
305,2015-07-19,274.766998,11551.0
306,2015-07-20,273.498993,11506.900391
307,2015-07-21,278.881989,11571.900391
308,2015-07-22,275.657013,11389.200195
309,2015-07-23,277.341003,11552.0
310,2015-07-24,276.005005,11415.400391
311,2015-07-25,288.164001,11415.400391
312,2015-07-26,288.640015,11415.400391
313,2015-07-27,292.639008,11252.700195
314,2015-07-28,293.632996,11179.5
315,2015-07-29,294.484009,11310.0
316,2015-07-30,289.102997,11347.700195
317,2015-07-31,287.696014,11198.400391
318,2015-08-01,284.686005,11198.400391
319,2015-08-02,280.449005,11198.400391
320,2015-08-03,282.806,11180.599609
321,2015-08-04,281.225006,11240.299805
322,2015-08-05,284.846985,11195.0
323,2015-08-06,281.906006,11263.599609
324,2015-08-07,278.740997,11244.900391
325,2015-08-08,279.742004,11244.900391
326,2015-08-09,261.115997,11244.900391
327,2015-08-10,265.477997,11239.5
328,2015-08-11,264.34201,11278.5
329,2015-08-12,270.597992,11054.400391
330,2015-08-13,266.183014,11030.799805
331,2015-08-14,264.131989,10952.400391
332,2015-08-15,265.528992,10952.400391
333,2015-08-16,261.865997,10952.400391
334,2015-08-17,258.48999,10983.099609
335,2015-08-18,257.925995,10878.0
336,2015-08-19,225.671005,10843.700195
337,2015-08-20,226.899002,10748.200195
338,2015-08-21,235.354996,10434.400391
339,2015-08-22,232.662003,10434.400391
340,2015-08-23,230.376007,10434.400391
341,2015-08-24,228.112,9973.700195
342,2015-08-25,210.067993,9880.400391
343,2015-08-26,222.076004,10005.799805
344,2015-08-27,226.050003,10229.599609
345,2015-08-28,224.701004,10322.700195
346,2015-08-29,231.548996,10322.700195
347,2015-08-30,229.895004,10322.700195
348,2015-08-31,229.113998,10297.200195
349,2015-09-01,230.255997,10136.099609
350,2015-09-02,228.026993,10009.700195
351,2015-09-03,229.324005,10023.799805
352,2015-09-04,227.214996,9947.0
353,2015-09-05,230.199005,9947.0
354,2015-09-06,234.869995,9947.0
355,2015-09-07,239.934006,9893.5
356,2015-09-08,239.845993,9860.299805
357,2015-09-09,243.414993,10078.799805
358,2015-09-10,238.335999,9929.200195
